key,en,ru,uz
pages.about.general.futureDirections,Future Directions,Направления развития,Kelajak yo'nalishlari
pages.about.general.internationalOlympiads,International Olympiads,Международные олимпиады,Xalqaro olimpiadalar
pages.about.general.keyObjectives,Key Objectives,Ключевые задачи,Asosiy maqsadlar
pages.about.general.legalDocuments,Legal Documents of the Center,Правовые документы Центра,Markazning huquqiy hujjatlari
pages.about.general.olympiadStats,Olympiad Statistics,Статистика олимпиад,Olimpiada statistikasi
pages.about.general.prestigiousInternational,Prestigious International Olympiads,Престижные международные олимпиады,Nufuzli xalqaro olimpiadalar
pages.about.general.regionalContinental,Regional & Continental Olympiads,Региональные и континентальные олимпиады,Mintaqaviy va kontinental olimpiadalar
pages.about.general.stats.activeStudents,Active Students,Активные студенты,Faol o'quvchilar
pages.about.general.stats.internationalMedals,International Medals,Международные медали,Xalqaro medallar
pages.about.general.stats.partnerCountries,Partner Countries,Страны-партнеры,Hamkor davlatlar
pages.about.general.stats.programsCourses,Programs & Courses,Программы и курсы,Dasturlar va kurslar
pages.about.general.strategicPrinciples,Strategic Principles,Стратегические принципы,Strategik tamoyillar
pages.about.general.subtitle,The Science Olympiad Center is a state educational institution under the Agency for Specialized Educational Institutions of the Ministry of Preschool and School Education of the Republic of Uzbekistan.,Центр научных олимпиад — государственное образовательное учреждение при Агентстве специализированных образовательных учреждений Министерства дошкольного и школьного образования Республики Узбекистан.,Fanlar olimpiadasi markazi — O'zbekiston Respublikasi Maktabgacha va maktab ta'limi vazirligi huzuridagi Ixtisoslashtirilgan ta'lim muassasalari agentligi tarkibidagi davlat ta'lim muassasasidir.
pages.about.general.title,General Information,Общая информация,Umumiy ma'lumot
pages.about.general.watch,Watch,Смотреть,Ko'rish
pages.about.leadership,Leadership,Руководство,Rahbariyat
pages.about.ourHistory,Our History,Наша история,Bizning tarixımız
pages.about.ourMission,Our Mission,Наша миссия,Bizning missiyamiz
pages.about.ourValues,Our Values,Наши ценности,Bizning qadriyatlarimiz
pages.about.ourVision,Our Vision,Наше видение,Bizning ko'rinishimiz
pages.about.partners,Partners,Партнеры,Hamkorlar
pages.about.title,About,О,Biz
pages.about.titleHighlight,Us,нас,haqimizda
pages.apply.applyNow,Apply Now,Подать заявку,Hozir ariza bering
pages.apply.criteria,Selection Criteria,Критерии отбора,Tanlov mezonlari
pages.apply.deadline,Application Deadline,Срок подачи,Ariza berish muddati
pages.apply.description,Join our elite training programs and start your journey towards international olympiad success.,Присоединяйтесь к нашим элитным программам подготовки и начните путь к успеху на международных олимпиадах.,Bizning elit tayyorgarlik dasturlarimizga qo'shiling va xalqaro olimpiadalarda muvaffaqiyatga erishish yo'lingizni boshlang.
pages.apply.documents,Required Documents,Необходимые документы,Kerakli hujjatlar
pages.apply.eligibility,Eligibility,Требования,Talablar
pages.apply.faq,FAQ,Часто задаваемые вопросы,Savol-javob
pages.apply.process,Application Process,Процесс подачи,Ariza berish jarayoni
pages.apply.requirements,Requirements,Требования,Talablar
pages.apply.rules,Rules of Stay,Правила пребывания,Qoidalar
pages.apply.title,How to,Как,Qanday
pages.apply.titleHighlight,Apply,подать заявку,ariza berish
pages.contact.address,Address,Адрес,Manzil
pages.contact.closed,Closed,Закрыто,Yopiq
pages.contact.description,"Get in touch with us for any inquiries about our programs, admissions, or partnerships.","Свяжитесь с нами по любым вопросам о наших программах, поступлении или партнерстве.","Dasturlarimiz, qabul yoki hamkorlik haqida har qanday savollar uchun biz bilan bog'laning."
pages.contact.email,Email,Эл. почта,Elektron pochta
pages.contact.emailLabel,Email,Эл. почта,Elektron pochta
pages.contact.firstName,First Name,Имя,Ism
pages.contact.getInTouch,Get in Touch,Связаться,Bog'lanish
pages.contact.lastName,Last Name,Фамилия,Familiya
pages.contact.message,Message,Сообщение,Xabar
pages.contact.mondayFriday,Monday - Friday,Понедельник - Пятница,Dushanba - Juma
pages.contact.phone,Phone,Телефон,Telefon
pages.contact.phoneLabel,Phone,Телефон,Telefon
pages.contact.saturday,Saturday,Суббота,Shanba
pages.contact.send,Send Message,Отправить,Yuborish
pages.contact.sendMessage,Send us a Message,Отправить сообщение,Xabar yuborish
pages.contact.sending,Sending...,Отправка...,Yuborilmoqda...
pages.contact.subject,Subject,Тема,Mavzu
pages.contact.sunday,Sunday,Воскресенье,Yakshanba
pages.contact.title,Contact,Свяжитесь,Biz bilan
pages.contact.titleHighlight,Us,с нами,bog'laning
pages.contact.workingHours,Working Hours,Рабочие часы,Ish vaqti
pages.news.allNews,All News,Все новости,Barcha yangiliklar
pages.news.description,"Stay updated with the latest achievements, announcements, and developments from the Science Olympiad Center.","Будьте в курсе последних достижений, объявлений и новостей Центра научных олимпиад.","Fan Olimpiadasi Markazining so'nggi yutuqlari, e'lonlari va yangiliklari bilan tanishing."
pages.news.featured,Featured,Избранное,Tanlangan
pages.news.featuredDesc,Our most important news and achievements,Наши самые важные новости и достижения,Bizning eng muhim yangiliklar va yutuqlarimiz
pages.news.featuredStories,Featured Stories,Избранные статьи,Tanlangan maqolalar
pages.news.loading,Loading news...,Загрузка новостей...,Yangiliklar yuklanmoqda...
pages.news.moreNews,More News,Больше новостей,Ko'proq yangiliklar
pages.news.moreNewsDesc,Complete coverage of our activities and achievements,Полный обзор нашей деятельности и достижений,Bizning faoliyat va yutuqlarimizning to'liq sharhi
pages.news.noArticles,No news articles found in this category.,Статьи в этой категории не найдены.,Bu kategoriyada maqolalar topilmadi.
pages.news.noImage,No image,Нет изображения,Rasm yo'q
pages.news.readMore,Read More,Читать далее,Batafsil
pages.news.retry,Retry,Повторить,Qayta urinish
pages.news.title,Latest,Последние,So'nggi
pages.news.titleHighlight,News,Новости,Yangiliklar
pages.olympiads.description,Explore various national and international science olympiad competitions.,Изучите различные национальные и международные научные олимпиады.,Turli milliy va xalqaro fan olimpiadalarini ko'rib chiqing.
pages.olympiads.international,International Olympiads,Международные олимпиады,Xalqaro olimpiadalar
pages.olympiads.local,Local Olympiads,Местные олимпиады,Mahalliy olimpiadalar
pages.olympiads.pastResults,Past Results,Прошлые результаты,O'tgan natijalar
pages.olympiads.prestigious,Prestigious Olympiads,Престижные олимпиады,Prestijli olimpiadalar
pages.olympiads.regional,Regional International Olympiads,Региональные международные олимпиады,Mintaqaviy xalqaro olimpiadalar
pages.olympiads.title,Science,Научные,Fan
pages.olympiads.titleHighlight,Olympiads,Олимпиады,Olimpiadalari
pages.olympiads.upcomingEvents,Upcoming Events,Предстоящие события,Yaqinlashib kelayotgan tadbirlar
pages.programs.mainDescription,Comprehensive training programs designed to prepare exceptional students for national and international science olympiads.,"Комплексные программы подготовки, разработанные для подготовки выдающихся студентов к национальным и международным научным олимпиадам.",Milliy va xalqaro fan olimpiadalari uchun istisno talabalar tayyorlash uchun mo'ljallangan keng qamrovli tayyorgarlik dasturlari.
pages.programs.mainTitle,Our Training,Наши учебные,Bizning tayyorgarlik
pages.programs.mainTitleHighlight,Programs,Программы,Dasturlarimiz
programDetails.achievements,Achievements,Достижения,Yutuqlar
programDetails.activeStudents,active students,активных студентов,faol talaba
programDetails.advanced,Advanced,Продвинутый,Yuqori daraja
programDetails.application,Application,Заявка,Ariza
programDetails.applyNow,Apply Now,Подать заявку,Hozir ariza bering
programDetails.biology.applicationNote,Open to students with strong biological knowledge and laboratory skills.,Открыто для студентов с сильными знаниями биологии и лабораторными навыками.,Kuchli biologik bilim va laboratoriya ko'nikmalariga ega talabalar uchun ochiq.
programDetails.biology.cellBiology,Cell Biology,Клеточная биология,Hujayra biologiyasi
programDetails.biology.curriculumDescription,A structured roadmap covering all essential domains in biology.,"Структурированная программа, охватывающая все основные области биологии.",Biologiyaning barcha muhim sohalarini qamrab oluvchi tuzilgan yo'l xaritasi.
programDetails.biology.description,Comprehensive biological sciences training fully aligned with the International Biology Olympiad (IBO) standards.,"Комплексная подготовка по биологии, полностью соответствующая стандартам Международной биологической олимпиады (IBO).",Xalqaro Biologiya Olimpiadasi (IBO) standartlariga to'liq mos keladigan keng qamrovli biologik fanlar tayyorgarligi.
programDetails.biology.duration,9,9,9
programDetails.biology.ecology,Ecology,Экология,Ekologiya
programDetails.biology.genetics,Genetics,Генетика,Genetika
programDetails.biology.laboratorySkills,Laboratory Skills,Лабораторные навыки,Laboratoriya ko'nikmalari
programDetails.biology.medals,IBO & regional olympiad finalists,Финалисты IBO и региональных олимпиад,IBO va mintaqaviy olimpiada finalistlari
programDetails.biology.molecularBiology,Molecular Biology,Молекулярная биология,Molekulyar biologiya
programDetails.biology.objectives.1,Master core concepts of modern biology,Освоить ключевые концепции современной биологии,Zamonaviy biologiyaning asosiy tushunchalarini o'zlashtirish
programDetails.biology.objectives.2,Analyze biological systems at molecular and organismal levels,Анализировать биологические системы на молекулярном и организменном уровнях,Biologik tizimlarni molekulyar va organizm darajasida tahlil qilish
programDetails.biology.objectives.3,Develop experimental design and data interpretation skills,Развить навыки планирования экспериментов и интерпретации данных,Eksperimental loyihalash va ma'lumotlarni talqin qilish ko'nikmalarini rivojlantirish
programDetails.biology.objectives.4,Apply scientific method to olympiad-level problems,Применять научный метод к олимпиадным задачам,Olimpiada darajasidagi masalalarga ilmiy usulni qo'llash
programDetails.biology.overview,"This program cultivates advanced biological knowledge through conceptual lectures, laboratory modules, and olympiad-style problem solving. Students explore molecular, cellular, ecological, and evolutionary biology with emphasis on scientific reasoning.","Эта программа развивает продвинутые биологические знания через концептуальные лекции, лабораторные модули и решение олимпиадных задач. Студенты изучают молекулярную, клеточную, экологическую и эволюционную биологию.","Bu dastur kontseptual ma'ruzalar, laboratoriya modullari va olimpiada uslubidagi masala yechish orqali ilg'or biologik bilimlarni rivojlantiradi. Talabalar molekulyar, hujayra, ekologik va evolyutsion biologiyani ilmiy fikrlashga e'tibor qaratgan holda o'rganadilar."
programDetails.biology.physiology,Physiology,Физиология,Fiziologiya
programDetails.biology.prereqs.1,General biology knowledge,Общие знания биологии,Umumiy biologiya bilimlari
programDetails.biology.prereqs.2,Strong interest in molecular sciences,Сильный интерес к молекулярным наукам,Molekulyar fanlarga kuchli qiziqish
programDetails.biology.prereqs.3,Readiness for intensive lab and theoretical training,Готовность к интенсивной лабораторной и теоретической подготовке,Intensiv laboratoriya va nazariy tayyorgarlikka tayyorlik
programDetails.biology.program,Program,Программа,Dasturi
programDetails.biology.students,30+,30+,30+
programDetails.biology.title,Biology,Биология,Biologiya
programDetails.biology.topics.cellDivision,Cell Division,Деление клеток,Hujayra bo'linishi
programDetails.biology.topics.dataAnalysis,Data Analysis,Анализ данных,Ma'lumotlar tahlili
programDetails.biology.topics.dnaRna,DNA/RNA Structure,Структура ДНК/РНК,DNK/RNK tuzilishi
programDetails.biology.topics.ecosystems,Ecosystems,Экосистемы,Ekotizimlar
programDetails.biology.topics.energyFlow,Energy Flow,Поток энергии,Energiya oqimi
programDetails.biology.topics.gelElectrophoresis,Gel Electrophoresis,Гель-электрофорез,Gel elektroforez
programDetails.biology.topics.geneExpression,Gene Expression,Экспрессия генов,Gen ekspressiyasi
programDetails.biology.topics.homeostasis,Homeostasis,Гомеостаз,Gomeostaz
programDetails.biology.topics.humanPhysiology,Human Physiology,Физиология человека,Odam fiziologiyasi
programDetails.biology.topics.membrane,Membrane Transport,Мембранный транспорт,Membrana transporti
programDetails.biology.topics.mendelian,Mendelian Genetics,Менделевская генетика,Mendel genetikasi
programDetails.biology.topics.microscopy,Microscopy,Микроскопия,Mikroskopiya
programDetails.biology.topics.mutations,Genetic Mutations,Генетические мутации,Genetik mutatsiyalar
programDetails.biology.topics.organelles,Cellular Organelles,Клеточные органеллы,Hujayra organellalari
programDetails.biology.topics.plantPhysiology,Plant Physiology,Физиология растений,O'simlik fiziologiyasi
programDetails.biology.topics.populationDynamics,Population Dynamics,Динамика популяций,Populyatsiya dinamikasi
programDetails.biology.topics.populationGenetics,Population Genetics,Популяционная генетика,Populyatsiya genetikasi
programDetails.biology.topics.recombinant,Recombinant DNA Technology,Технология рекомбинантной ДНК,Rekombinant DNK texnologiyasi
programDetails.chemistry.analyticalChemistry,Analytical Chemistry,Аналитическая химия,Analitik kimyo
